Date,Predicted,Real
2023-03-30,266.84006,273.829987
2023-03-31,267.25565,277.769989
2023-04-03,269.62057,279.649994
2023-04-04,278.11157,274.529999
2023-04-05,275.16833,268.809998
2023-04-06,274.08926,270.369995
2023-04-10,276.70587,275.790009
2023-04-11,277.5624,271.690002
2023-04-12,276.08173,264.950012
2023-04-13,272.85138,264.630005
2023-04-14,271.33688,267.579987
2023-04-17,272.28345,270.019989
2023-04-18,272.2016,276.670013
2023-04-19,268.71716,279.309998
2023-04-20,266.67047,271.040009
2023-04-21,268.4898,271.190002
2023-04-24,271.68094,270.420013
2023-04-25,274.45956,262.410004
2023-04-26,276.57245,269.559998
2023-04-27,274.99234,272.26001
2023-04-28,270.8793,277.48999
2023-05-01,269.95792,289.100006
2023-05-02,268.90298,282.100006
2023-05-03,268.85898,278.019989
2023-05-04,274.46198,275.619995
2023-05-05,278.54706,286.799988
2023-05-08,282.54587,291.51001
2023-05-09,284.73694,285.709991
2023-05-10,281.204,288.850006
2023-05-11,281.03168,285.779999
2023-05-12,283.767,283.399994
2023-05-15,289.0633,289.529999
2023-05-16,289.57764,292.130005
2023-05-17,287.44604,301.779999
2023-05-18,288.03317,316.779999
2023-05-19,287.59906,312.640015
2023-05-22,290.1028,311.76001
2023-05-23,296.41946,306.880005
2023-05-24,302.73093,305.380005
2023-05-25,310.35004,379.799988
2023-05-26,314.865,389.459991
2023-05-30,313.74994,401.109985
2023-05-31,318.39227,378.339996
2023-06-01,330.56003,397.700012
2023-06-02,354.37473,393.269989
2023-06-05,389.4617,391.709991
2023-06-06,394.4722,386.540009
2023-06-07,395.7014,374.75
2023-06-08,390.76105,385.100006
2023-06-09,396.5916,387.700012
2023-06-12,392.53937,394.820007
2023-06-13,389.1606,410.220001
2023-06-14,385.7465,429.970001
2023-06-15,385.34882,426.529999
2023-06-16,393.68994,426.920013
2023-06-20,401.3888,438.079987
2023-06-21,412.3289,430.450012
2023-06-22,424.45093,430.25
2023-06-23,432.62692,422.089996
2023-06-26,432.65063,406.320007
2023-06-27,434.5237,418.76001
2023-06-28,435.7864,411.170013
2023-06-29,429.94836,408.220001
2023-06-30,425.44278,423.019989
2023-07-03,418.8029,424.130005
2023-07-05,414.5927,423.170013
2023-07-06,418.38278,421.029999
2023-07-07,417.06683,425.029999
2023-07-10,420.30676,421.799988
2023-07-11,426.63812,424.049988
2023-07-12,426.69742,439.019989
2023-07-13,426.15683,459.769989
2023-07-14,426.45074,454.690002
2023-07-17,429.4578,464.609985
2023-07-18,433.2058,474.940002
2023-07-19,442.24258,470.769989
2023-07-20,454.98254,455.200012
2023-07-21,464.82922,443.089996
2023-07-24,466.75916,446.119995
2023-07-25,471.55844,456.790009
2023-07-26,470.82877,454.519989
2023-07-27,462.76477,459.0
2023-07-28,454.02338,467.5
2023-07-31,451.6898,467.290009
2023-08-01,456.36096,465.070007
2023-08-02,461.74637,442.690002
2023-08-03,463.6047,445.149994
2023-08-04,467.20233,446.799988
2023-08-07,468.3997,454.170013
2023-08-08,463.82184,446.640015
2023-08-09,456.99594,425.540009
2023-08-10,449.0464,423.880005
2023-08-11,450.70172,408.549988
2023-08-14,450.31522,437.529999
2023-08-15,446.77332,439.399994
2023-08-16,436.39917,434.859985
2023-08-17,426.79282,433.440002
2023-08-18,426.85114,432.98999
2023-08-21,428.94016,469.670013
2023-08-22,440.77478,456.679993
